214,Raichur,Karnataka,583.5
215,Shimoga,Karnataka,2008.9
216,Tumkur,Karnataka,955.9
217,Udupi,Karnataka,3812.6
218,Uttar Kannada,Karnataka,2601
219,Alapuzha,Kerala,2584.9
220,Cannur,Kerala,2822.5
221,Ernakulam,Kerala,2874.2
222,Idukki,Kerala,3031.2
223,Kasargode,Kerala,3319.9
224,Kollam,Kerala,2207.4
225,Kottayam,Kerala,2533.8
226,Kozhikode,Kerala,3328.3
227,Malapuram,Kerala,2144.8
228,Palakked,Kerala,1883.7
229,Pathanamthitta,Kerala,2657.8
230,Thiruvananthapuram,Kerala,1931.5
231,Thrissur,Kerala,2310.1
232,Wynad,Kerala,2142.4
233,Lakshadweep,Lakshadweep,1726.4
234,Balaghat,Madhya Pradesh,1325.4
235,Barwani,Madhya Pradesh,510
236,Betul,Madhya Pradesh,N.A.
237,Bhind,Madhya Pradesh,973.5
238,Bhopal,Madhya Pradesh,740
239,Chhatarpur,Madhya Pradesh,938.3
240,Chindwara,Madhya Pradesh,668
241,Damoh,Madhya Pradesh,1259.4
242,Datia,Madhya Pradesh,1044
243,Dewas,Madhya Pradesh,404.6
244,Dhar,Madhya Pradesh,687.3
245,Dindori,Madhya Pradesh,782.2
246,Guna,Madhya Pradesh,980.6
247,Gwalior,Madhya Pradesh,768.8
248,Harda,Madhya Pradesh,612.4
249,Hoshangabad,Madhya Pradesh,823.8
250,Indore,Madhya Pradesh,670.6
251,Jabalpur,Madhya Pradesh,1201.1
252,Jhabua,Madhya Pradesh,632.2
253,Katni,Madhya Pradesh,1229.6
254,Khandwa,Madhya Pradesh,683.1
255,Khargone,Madhya Pradesh,472.9
256,Mandla,Madhya Pradesh,1503.5
257,Mandsaur,Madhya Pradesh,708.2
258,Morena,Madhya Pradesh,777.7
259,Narsinghpur,Madhya Pradesh,947.4
260,Neemuch,Madhya Pradesh,813.2
261,Panna,Madhya Pradesh,584.8
262,Raisen,Madhya Pradesh,925.3
263,Rajgarh,Madhya Pradesh,743.7
264,Ratlam,Madhya Pradesh,652.1
265,Rewa,Madhya Pradesh,N.A.
